-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,d,d,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,d,d,d,d,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,d,d,d,d,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,d,d,d,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,d,d,d,d,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,d,d,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,d,d,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,d,b,b,b,b,b,b,b,b,b,b,b,-,-,-,b,b,b,b,b,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,d,b,b,b,b,-,-,-,b,b,b,b,-,-,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,b,b,b,b,b,-,-,b,b,b,b,b,b,b,c,c,b,b,b,b,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,b,b,b,c,c,b,b,b,b,b,b,b,b,b,c,c,b,b,b,b,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,b,b,b,c,c,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,b,b,b,b,b,b,b,b,-,-,-,-,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,d,b,b,b,b,b,b,b,-,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,d,b,b,b,b,b,b,b,-,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,b,b,b,b,b,b,b,-,-,-,-,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-
-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,d,b,b,b,b,b,-,-,-,-,-,-,-
-,-,-,-,-,-,b,b,d,b,b,b,b,b,b,b,b,b,b,b,b,b,d,d,b,b,b,b,-,-,-,-,-,-,-
-,-,-,-,-,b,b,b,b,d,d,b,b,b,b,b,b,b,b,b,b,b,d,-,d,d,d,-,-,-,-,-,-,-,-
-,-,-,-,-,b,b,b,b,d,d,d,b,b,b,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,b,b,b,b,d,d,b,b,b,b,b,b,b,b,b,b,d,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,b,b,d,d,-,b,b,b,b,b,b,b,b,b,b,d,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,d,d,-,-,-,b,b,b,b,b,b,b,b,b,d,d,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,d,d,-,-,-,-,-,b,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,d,-,-,-,b,d,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,d,b,b,b,d,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,b,b,d,d,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,b,d,d,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,d,d,d,d,d,d,d,d,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
